mhz,phi,theta,gain_total,gain_horiz,gain_vert,gain_rhcp,gain_lhcp
30.000000,94.999999995197967,84.999999995703433,2.1490737888050218,-1997.850926211195,2.1490737888050218,-0.86122616783479033,-0.86122616783479033
30.000000,94.999999995197967,85.999999995652885,2.154016598814648,-1997.8459834011853,2.154016598814648,-0.85628335782516407,-0.85628335782516407
30.000000,94.999999995197967,86.999999995602337,2.1550712250363242,-1997.8449287749636,2.1550712250363242,-0.85522873160348789,-0.85522873160348789
30.000000,94.999999995197967,87.999999995551789,2.1522423702717224,-1997.8477576297282,2.1522423702717224,-0.85805758636808971,-0.85805758636808971
30.000000,94.999999995197967,88.999999995501241,2.1455344670922445,-1997.8544655329079,2.1455344670922445,-0.8647654895475676,-0.8647654895475676
30.000000,94.999999995197967,89.999999995450679,2.1349516894776119,-1997.8650483105223,2.1349516894776119,-0.87534826716220016,-0.87534826716220016
30.000000,99.999999994945227,0,-999.99000000000001,-2999.9899999999998,-999.99000000000001,-1003.0002999566398,-1003.0002999566398
30.000000,99.999999994945227,0.99999999994945232,-34.383566057366146,-2034.3835660573661,-34.383566057366146,-37.393866014005958,-37.393866014005958
30.000000,99.999999994945227,1.9999999998989046,-28.362661395492509,-2028.3626613954925,-28.362661395492509,-31.372961352132322,-31.372961352132322
30.000000,99.999999994945227,2.9999999998483573,-24.840331284217825,-2024.8403312842179,-24.840331284217825,-27.850631240857638,-27.850631240857638
